type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2021-10-15 13:14:58,52.08746256,5.16379223,5,57.500,,0.000,245,14,18,,
T,2021-10-15 13:14:59,52.08746256,5.16379223,5,57.500,,0.000,246,12,18,,
T,2021-10-15 13:15:00,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:15:01,52.08746256,5.16379223,5,57.500,,0.000,246,12,18,,
T,2021-10-15 13:15:02,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:03,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:04,52.08746256,5.16379223,5,57.500,,0.000,246,15,19,,
T,2021-10-15 13:15:05,52.08746256,5.16379223,5,57.500,,0.000,246,14,19,,
T,2021-10-15 13:15:06,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:07,52.08746256,5.16379223,5,57.500,,0.000,246,15,19,,
T,2021-10-15 13:15:08,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:15:09,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:10,52.08746256,5.16379223,5,57.500,,0.000,246,15,19,,
T,2021-10-15 13:15:11,52.08746256,5.16379223,5,57.500,,0.000,246,16,18,,
T,2021-10-15 13:15:12,52.08746256,5.16379223,5,57.500,,0.000,246,16,18,,
T,2021-10-15 13:15:13,52.08746256,5.16379223,5,57.500,,0.000,246,15,19,,
T,2021-10-15 13:15:14,52.08746256,5.16379223,5,57.500,,0.000,246,17,19,,
T,2021-10-15 13:15:15,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:16,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:17,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:18,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:19,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:20,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:21,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:22,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:23,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:15:24,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:15:25,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:15:26,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:15:27,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:15:28,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:29,52.08746256,5.16379223,5,57.500,,0.000,246,13,17,,
T,2021-10-15 13:15:30,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:31,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:32,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:33,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:34,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:15:35,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:15:36,52.08746256,5.16379223,5,57.500,,0.000,246,13,18,,
T,2021-10-15 13:15:37,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:38,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:39,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:40,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:41,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:42,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:43,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:44,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:45,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
