type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2021-10-15 13:24:57,52.08798010,5.16868182,5,63.600,,1.312,181,18,21,,
T,2021-10-15 13:24:58,52.08796707,5.16868567,5,63.500,,1.312,180,17,21,,
T,2021-10-15 13:24:59,52.08794746,5.16867846,5,63.900,,1.688,188,18,21,,
T,2021-10-15 13:25:00,52.08793614,5.16868140,5,63.700,,1.375,188,18,21,,
T,2021-10-15 13:25:01,52.08792487,5.16868265,5,63.500,,1.312,191,17,21,,
T,2021-10-15 13:25:02,52.08791317,5.16868249,5,63.300,,1.312,191,17,21,,
T,2021-10-15 13:25:03,52.08790433,5.16868617,5,63.100,,1.000,191,16,21,,
T,2021-10-15 13:25:04,52.08788870,5.16868768,5,62.900,,1.562,188,16,20,,
T,2021-10-15 13:25:05,52.08787198,5.16869162,5,62.800,,1.688,180,17,21,,
T,2021-10-15 13:25:06,52.08785697,5.16870059,5,62.500,,1.812,170,17,21,,
T,2021-10-15 13:25:07,52.08783489,5.16870361,5,62.500,,2.062,164,17,21,,
T,2021-10-15 13:25:08,52.08781888,5.16871342,5,62.200,,2.000,161,18,21,,
T,2021-10-15 13:25:09,52.08780366,5.16871777,5,61.900,,1.812,165,18,21,,
T,2021-10-15 13:25:10,52.08779164,5.16871803,5,61.900,,1.500,167,16,21,,
T,2021-10-15 13:25:11,52.08778405,5.16871861,5,61.800,,1.062,171,15,21,,
T,2021-10-15 13:25:12,52.08776997,5.16871610,5,61.600,,1.438,176,15,21,,
T,2021-10-15 13:25:13,52.08775886,5.16871409,5,61.500,,1.500,181,16,21,,
T,2021-10-15 13:25:14,52.08774830,5.16871450,5,61.300,,1.375,184,16,21,,
T,2021-10-15 13:25:15,52.08774273,5.16871761,5,60.900,,0.938,187,16,21,,
T,2021-10-15 13:25:16,52.08773497,5.16871610,5,60.500,,0.938,188,16,21,,
T,2021-10-15 13:25:17,52.08772802,5.16871953,5,60.400,,0.875,191,14,21,,
T,2021-10-15 13:25:18,52.08772244,5.16872087,5,60.100,,0.562,194,14,20,,
T,2021-10-15 13:25:19,52.08771586,5.16871819,5,60.000,,0.688,195,14,21,,
T,2021-10-15 13:25:20,52.08770396,5.16871325,5,59.900,,1.125,189,15,21,,
T,2021-10-15 13:25:21,52.08768854,5.16870872,5,59.600,,1.438,183,15,21,,
T,2021-10-15 13:25:22,52.08767320,5.16870520,5,59.400,,1.438,182,15,21,,
T,2021-10-15 13:25:23,52.08765472,5.16870637,5,59.300,,1.750,178,13,21,,
T,2021-10-15 13:25:24,52.08763951,5.16871040,5,59.200,,1.562,176,14,21,,
T,2021-10-15 13:25:25,52.08762127,5.16871090,5,59.200,,1.812,176,15,21,,
T,2021-10-15 13:25:26,52.08760015,5.16871434,5,59.100,,2.000,176,15,21,,
T,2021-10-15 13:25:27,52.08757828,5.16871467,5,59.000,,2.062,176,15,21,,
T,2021-10-15 13:25:28,52.08755405,5.16872389,5,59.000,,2.438,170,14,21,,
T,2021-10-15 13:25:29,52.08753289,5.16874317,5,59.100,,2.438,161,17,21,,
T,2021-10-15 13:25:30,52.08751654,5.16875843,5,59.000,,2.125,152,17,21,,
T,2021-10-15 13:25:31,52.08750171,5.16877226,5,58.900,,1.938,148,18,21,,
T,2021-10-15 13:25:32,52.08748398,5.16878290,5,58.800,,2.000,149,16,21,,
T,2021-10-15 13:25:33,52.08746935,5.16879262,5,58.900,,1.750,146,17,21,,
T,2021-10-15 13:25:34,52.08745724,5.16880595,5,58.900,,1.500,143,17,20,,
T,2021-10-15 13:25:35,52.08744546,5.16881232,5,58.900,,1.312,146,15,20,,
T,2021-10-15 13:25:36,52.08743842,5.16881274,5,58.800,,1.000,160,17,21,,
T,2021-10-15 13:25:37,52.08743138,5.16880821,5,58.800,,0.875,176,18,21,,
T,2021-10-15 13:25:38,52.08742216,5.16879556,5,58.700,,1.250,189,16,21,,
T,2021-10-15 13:25:39,52.08741395,5.16877561,5,58.800,,1.500,204,17,21,,
T,2021-10-15 13:25:40,52.08740707,5.16876153,5,58.900,,1.250,214,17,20,,
T,2021-10-15 13:25:41,52.08739840,5.16875214,5,58.900,,1.250,219,17,20,,
T,2021-10-15 13:25:42,52.08738746,5.16874820,5,59.000,,1.250,219,17,20,,
T,2021-10-15 13:25:43,52.08737426,5.16874736,5,59.000,,1.312,214,16,21,,
T,2021-10-15 13:25:44,52.08736123,5.16874979,5,59.100,,1.250,204,16,21,,
T,2021-10-15 13:25:45,52.08734928,5.16875088,5,58.900,,1.312,198,16,21,,
T,2021-10-15 13:25:46,52.08733734,5.16874996,5,58.700,,1.188,193,16,20,,
T,2021-10-15 13:25:47,52.08732682,5.16875147,5,58.800,,1.188,190,16,21,,
T,2021-10-15 13:25:48,52.08731123,5.16874820,5,58.700,,1.438,191,17,21,,
T,2021-10-15 13:25:49,52.08729673,5.16874736,5,58.600,,1.438,188,17,21,,
T,2021-10-15 13:25:50,52.08727908,5.16874460,5,58.500,,1.812,187,17,21,,
T,2021-10-15 13:25:51,52.08725989,5.16874216,5,58.200,,1.812,186,17,21,,
T,2021-10-15 13:25:52,52.08724292,5.16873848,5,57.800,,1.750,184,16,21,,
T,2021-10-15 13:25:53,52.08722586,5.16873529,5,57.500,,1.812,182,17,21,,
T,2021-10-15 13:25:54,52.08720880,5.16873177,5,57.200,,1.812,181,18,21,,
T,2021-10-15 13:25:55,52.08718927,5.16872884,5,57.200,,2.000,180,17,21,,
T,2021-10-15 13:25:56,52.08717121,5.16872599,5,57.000,,1.938,181,18,21,,
T,2021-10-15 13:25:57,52.08715566,5.16872599,5,56.900,,1.688,180,18,21,,
T,2021-10-15 13:25:58,52.08714187,5.16871979,5,57.000,,1.500,179,18,21,,
T,2021-10-15 13:25:59,52.08713072,5.16871668,5,56.800,,1.250,180,18,21,,
T,2021-10-15 13:26:00,52.08711601,5.16871761,5,56.800,,1.500,178,17,21,,
T,2021-10-15 13:26:01,52.08710336,5.16872230,5,56.600,,1.438,177,18,21,,
T,2021-10-15 13:26:02,52.08709028,5.16872766,5,56.600,,1.438,176,17,21,,
T,2021-10-15 13:26:03,52.08707695,5.16873261,5,56.500,,1.500,180,18,21,,
T,2021-10-15 13:26:04,52.08706354,5.16873253,5,56.600,,1.500,179,18,21,,
T,2021-10-15 13:26:05,52.08704774,5.16872984,5,56.800,,1.625,178,18,21,,
T,2021-10-15 13:26:06,52.08703609,5.16873521,5,56.800,,1.375,178,17,21,,
T,2021-10-15 13:26:07,52.08702042,5.16873605,5,56.700,,1.625,182,15,21,,
T,2021-10-15 13:26:08,52.08700743,5.16873806,5,56.700,,1.562,182,17,21,,
T,2021-10-15 13:26:09,52.08699481,5.16874066,5,56.700,,1.500,183,17,21,,
T,2021-10-15 13:26:10,52.08698169,5.16874426,5,56.600,,1.500,180,17,21,,
T,2021-10-15 13:26:11,52.08696740,5.16874661,5,56.500,,1.625,179,17,21,,
T,2021-10-15 13:26:12,52.08695265,5.16874862,5,56.400,,1.625,181,17,21,,
T,2021-10-15 13:26:13,52.08693832,5.16875222,5,56.500,,1.625,180,17,21,,
T,2021-10-15 13:26:14,52.08692394,5.16875692,5,56.300,,1.750,181,17,21,,
T,2021-10-15 13:26:15,52.08691015,5.16875801,5,56.200,,1.625,180,16,21,,
T,2021-10-15 13:26:16,52.08689938,5.16876136,5,56.000,,1.312,181,16,21,,
T,2021-10-15 13:26:17,52.08688652,5.16876329,5,56.000,,1.438,181,17,21,,
T,2021-10-15 13:26:18,52.08687193,5.16876798,5,55.700,,1.562,178,17,21,,
T,2021-10-15 13:26:19,52.08685433,5.16876966,5,55.500,,1.688,178,17,21,,
T,2021-10-15 13:26:20,52.08683664,5.16877066,5,55.400,,1.688,176,16,21,,
T,2021-10-15 13:26:21,52.08682064,5.16877058,5,55.200,,1.625,177,17,21,,
T,2021-10-15 13:26:22,52.08680492,5.16876597,5,55.100,,1.688,178,16,21,,
T,2021-10-15 13:26:23,52.08679117,5.16876287,5,55.000,,1.500,179,18,21,,
T,2021-10-15 13:26:24,52.08678149,5.16875926,5,54.700,,1.188,179,18,21,,
T,2021-10-15 13:26:25,52.08676879,5.16875859,5,54.500,,1.312,178,18,21,,
T,2021-10-15 13:26:26,52.08675433,5.16875390,5,54.400,,1.625,179,16,21,,
T,2021-10-15 13:26:27,52.08674113,5.16875113,5,54.400,,1.500,179,17,21,,
T,2021-10-15 13:26:28,52.08672747,5.16875105,5,54.300,,1.500,179,17,21,,
T,2021-10-15 13:26:29,52.08671360,5.16875038,5,54.300,,1.438,178,18,21,,
T,2021-10-15 13:26:30,52.08669667,5.16874233,5,54.600,,1.625,182,18,21,,
T,2021-10-15 13:26:31,52.08668284,5.16873839,5,54.700,,1.375,184,18,21,,
T,2021-10-15 13:26:32,52.08667089,5.16873697,5,54.600,,1.312,180,17,21,,
T,2021-10-15 13:26:33,52.08665828,5.16873873,5,54.700,,1.375,180,18,21,,
T,2021-10-15 13:26:34,52.08664696,5.16873823,5,54.700,,1.312,179,17,21,,
T,2021-10-15 13:26:35,52.08663762,5.16873772,5,54.700,,1.125,178,18,21,,
T,2021-10-15 13:26:36,52.08663028,5.16873697,5,54.800,,0.875,180,18,21,,
T,2021-10-15 13:26:37,52.08662014,5.16873823,5,54.900,,1.125,182,18,21,,
T,2021-10-15 13:26:38,52.08660530,5.16873948,5,55.000,,1.438,183,18,21,,
T,2021-10-15 13:26:39,52.08658783,5.16873797,5,54.900,,1.750,183,17,20,,
T,2021-10-15 13:26:40,52.08656855,5.16873848,5,55.000,,1.875,183,17,21,,
T,2021-10-15 13:26:41,52.08654894,5.16873680,5,55.200,,1.938,183,18,21,,
T,2021-10-15 13:26:42,52.08653335,5.16873814,5,55.100,,1.625,181,17,21,,
T,2021-10-15 13:26:43,52.08651608,5.16873420,5,55.500,,1.625,182,17,21,,
T,2021-10-15 13:26:44,52.08650225,5.16873688,5,55.600,,1.500,181,17,21,,
T,2021-10-15 13:26:45,52.08648502,5.16873881,5,55.800,,1.750,178,18,21,,
T,2021-10-15 13:26:46,52.08646834,5.16874141,5,55.900,,1.750,180,18,21,,
T,2021-10-15 13:26:47,52.08645095,5.16874451,5,55.900,,1.750,179,18,21,,
T,2021-10-15 13:26:48,52.08643461,5.16874493,5,55.900,,1.750,182,18,21,,
T,2021-10-15 13:26:49,52.08641830,5.16874342,5,55.900,,1.812,186,16,21,,
T,2021-10-15 13:26:50,52.08640074,5.16874225,5,55.900,,1.812,185,16,21,,
T,2021-10-15 13:26:51,52.08638545,5.16874359,5,56.000,,1.688,183,16,21,,
T,2021-10-15 13:26:52,52.08637099,5.16874619,5,55.900,,1.625,182,17,21,,
T,2021-10-15 13:26:53,52.08635846,5.16874962,5,55.700,,1.500,181,17,21,,
T,2021-10-15 13:26:54,52.08634630,5.16875507,5,55.500,,1.375,182,16,21,,
T,2021-10-15 13:26:55,52.08633637,5.16875809,5,55.400,,1.188,180,17,21,,
T,2021-10-15 13:26:56,52.08633038,5.16875767,5,55.100,,0.812,182,18,21,,
T,2021-10-15 13:26:57,52.08633042,5.16875549,5,54.800,,0.312,182,18,21,,
T,2021-10-15 13:26:58,52.08632723,5.16875558,5,54.600,,0.562,190,16,21,,
T,2021-10-15 13:26:59,52.08631785,5.16875373,5,54.300,,1.062,196,16,21,,
T,2021-10-15 13:27:00,52.08630485,5.16875231,5,54.200,,1.312,194,16,21,,
T,2021-10-15 13:27:01,52.08629090,5.16875139,5,53.900,,1.500,198,15,21,,
T,2021-10-15 13:27:02,52.08627690,5.16874267,5,53.800,,1.625,202,16,21,,
T,2021-10-15 13:27:03,52.08626567,5.16873479,5,53.600,,1.312,205,17,21,,
T,2021-10-15 13:27:04,52.08625804,5.16872968,5,53.400,,0.938,207,17,21,,
T,2021-10-15 13:27:05,52.08625104,5.16872582,5,53.300,,0.812,210,17,21,,
T,2021-10-15 13:27:06,52.08624861,5.16872356,5,53.200,,0.312,212,16,21,,
T,2021-10-15 13:27:07,52.08624585,5.16871987,5,53.100,,0.438,215,16,21,,
T,2021-10-15 13:27:08,52.08624228,5.16871342,5,53.300,,0.250,216,17,21,,
T,2021-10-15 13:27:09,52.08624228,5.16871342,5,53.300,,0.000,215,17,21,,
T,2021-10-15 13:27:10,52.08624228,5.16871342,5,53.300,,0.000,214,18,21,,
T,2021-10-15 13:27:11,52.08624228,5.16871342,5,53.300,,0.250,213,17,21,,
T,2021-10-15 13:27:12,52.08622560,5.16871903,5,52.900,,1.438,183,16,21,,
T,2021-10-15 13:27:13,52.08621035,5.16872171,5,52.800,,1.625,182,16,21,,
T,2021-10-15 13:27:14,52.08619769,5.16872289,5,52.600,,1.500,178,16,21,,
T,2021-10-15 13:27:15,52.08618600,5.16872314,5,52.100,,1.312,176,16,21,,
T,2021-10-15 13:27:16,52.08617762,5.16872976,5,51.700,,1.062,169,17,21,,
T,2021-10-15 13:27:17,52.08616999,5.16873596,5,51.400,,0.938,163,17,21,,
T,2021-10-15 13:27:18,52.08616458,5.16874334,5,51.100,,0.375,159,17,21,,
T,2021-10-15 13:27:19,52.08615867,5.16874678,5,50.700,,0.500,156,17,21,,
T,2021-10-15 13:27:20,52.08615486,5.16875013,5,50.300,,0.438,152,16,21,,
T,2021-10-15 13:27:21,52.08614941,5.16875323,5,50.100,,0.625,156,17,21,,
T,2021-10-15 13:27:22,52.08614317,5.16875968,5,50.200,,0.750,149,18,21,,
T,2021-10-15 13:27:23,52.08614266,5.16877938,5,50.100,,1.188,124,18,21,,
T,2021-10-15 13:27:24,52.08614321,5.16880495,5,50.100,,1.500,97,17,21,,
T,2021-10-15 13:27:25,52.08614526,5.16883261,5,50.000,,1.625,88,14,21,,
T,2021-10-15 13:27:26,52.08614317,5.16886018,5,49.900,,1.812,83,15,20,,
T,2021-10-15 13:27:27,52.08614547,5.16889220,5,49.800,,1.938,79,16,21,,
T,2021-10-15 13:27:28,52.08614292,5.16891894,5,49.800,,1.812,77,16,21,,
T,2021-10-15 13:27:29,52.08614153,5.16893931,5,49.800,,1.375,77,16,21,,
T,2021-10-15 13:27:30,52.08613919,5.16896546,5,49.700,,1.812,80,16,21,,
T,2021-10-15 13:27:31,52.08613940,5.16899806,5,49.700,,2.125,79,15,20,,
T,2021-10-15 13:27:32,52.08614321,5.16902681,5,49.600,,2.062,77,16,21,,
T,2021-10-15 13:27:33,52.08614954,5.16905800,5,49.300,,2.250,74,16,21,,
T,2021-10-15 13:27:34,52.08615486,5.16908616,5,49.300,,2.062,73,16,21,,
T,2021-10-15 13:27:35,52.08616199,5.16912295,5,49.200,,2.500,76,17,21,,
T,2021-10-15 13:27:36,52.08616785,5.16914911,5,49.500,,2.188,78,17,20,,
T,2021-10-15 13:27:37,52.08617049,5.16917107,5,49.100,,1.812,80,17,21,,
T,2021-10-15 13:27:38,52.08616949,5.16919420,5,48.900,,1.750,84,17,20,,
T,2021-10-15 13:27:39,52.08616626,5.16921130,5,48.900,,1.438,89,16,21,,
T,2021-10-15 13:27:40,52.08616500,5.16922119,5,48.800,,0.812,92,18,21,,
T,2021-10-15 13:27:41,52.08616517,5.16924097,5,48.800,,1.250,96,18,21,,
T,2021-10-15 13:27:42,52.08616622,5.16927307,5,48.700,,2.000,94,14,21,,
T,2021-10-15 13:27:43,52.08617540,5.16929126,5,48.900,,1.500,90,15,21,,
T,2021-10-15 13:27:44,52.08617125,5.16931222,5,48.900,,1.375,93,14,20,,
T,2021-10-15 13:27:45,52.08616748,5.16933317,5,49.000,,1.438,96,16,20,,
T,2021-10-15 13:27:46,52.08616270,5.16935413,5,48.900,,1.438,103,13,20,,
T,2021-10-15 13:27:47,52.08615561,5.16936435,5,48.800,,1.188,112,15,21,,
T,2021-10-15 13:27:48,52.08614795,5.16938405,5,48.800,,1.438,123,13,21,,
T,2021-10-15 13:27:49,52.08614095,5.16939981,5,48.900,,1.375,133,13,20,,
T,2021-10-15 13:27:50,52.08613118,5.16941121,5,48.700,,1.250,144,15,21,,
T,2021-10-15 13:27:51,52.08612469,5.16941909,5,48.600,,0.938,150,13,21,,
T,2021-10-15 13:27:52,52.08611852,5.16941976,5,48.500,,0.812,161,15,21,,
T,2021-10-15 13:27:53,52.08611697,5.16942881,5,48.400,,0.500,164,14,20,,
T,2021-10-15 13:27:54,52.08611312,5.16943585,5,48.300,,0.625,168,12,21,,
T,2021-10-15 13:27:55,52.08610038,5.16944256,5,48.500,,0.562,172,12,20,,
T,2021-10-15 13:27:56,52.08610038,5.16944256,5,48.500,,0.250,172,12,20,,
T,2021-10-15 13:27:57,52.08610038,5.16944256,5,48.500,,0.125,169,13,20,,
T,2021-10-15 13:27:58,52.08610038,5.16944256,5,48.500,,0.125,167,13,20,,
T,2021-10-15 13:27:59,52.08610038,5.16944256,5,48.500,,0.188,167,13,20,,
T,2021-10-15 13:28:00,52.08610038,5.16944256,5,48.500,,0.125,166,14,20,,
T,2021-10-15 13:28:01,52.08610038,5.16944256,5,48.500,,0.125,165,15,20,,
T,2021-10-15 13:28:02,52.08610038,5.16944256,5,48.500,,0.188,164,14,20,,
T,2021-10-15 13:28:03,52.08610038,5.16944256,5,48.500,,0.125,164,15,21,,
T,2021-10-15 13:28:04,52.08610038,5.16944256,5,48.500,,0.312,164,13,21,,
T,2021-10-15 13:28:05,52.08605939,5.16946888,5,50.500,,0.812,152,15,21,,
T,2021-10-15 13:28:06,52.08605637,5.16947181,5,50.500,,0.375,153,16,20,,
T,2021-10-15 13:28:07,52.08605080,5.16946762,5,50.100,,0.438,155,16,21,,
T,2021-10-15 13:28:08,52.08604866,5.16946267,5,50.300,,0.250,156,15,21,,
T,2021-10-15 13:28:09,52.08604866,5.16946267,5,50.300,,0.000,155,15,21,,
T,2021-10-15 13:28:10,52.08604866,5.16946267,5,50.300,,0.188,155,14,20,,
T,2021-10-15 13:28:11,52.08604866,5.16946267,5,50.300,,0.250,155,13,20,,
T,2021-10-15 13:28:12,52.08604866,5.16946267,5,50.300,,0.188,155,14,20,,
T,2021-10-15 13:28:13,52.08604866,5.16946267,5,50.300,,0.250,155,15,21,,
T,2021-10-15 13:28:14,52.08604866,5.16946267,5,50.300,,0.250,155,14,20,,
T,2021-10-15 13:28:15,52.08600445,5.16948882,5,52.100,,0.812,149,14,20,,
T,2021-10-15 13:28:16,52.08598689,5.16949394,5,52.600,,1.000,147,13,20,,
T,2021-10-15 13:28:17,52.08597679,5.16950089,5,53.000,,0.875,135,13,21,,
T,2021-10-15 13:28:18,52.08597096,5.16950802,5,53.400,,0.688,127,12,21,,
T,2021-10-15 13:28:19,52.08596120,5.16951799,5,53.900,,1.000,121,13,21,,
T,2021-10-15 13:28:20,52.08595248,5.16952487,5,54.200,,0.750,113,12,21,,
T,2021-10-15 13:28:21,52.08593961,5.16952923,5,54.500,,0.438,109,13,21,,
T,2021-10-15 13:28:22,52.08592733,5.16953736,5,54.800,,0.938,110,13,21,,
T,2021-10-15 13:28:23,52.08591950,5.16955437,5,55.000,,1.188,108,13,21,,
T,2021-10-15 13:28:24,52.08591581,5.16956518,5,55.200,,0.812,105,13,21,,
T,2021-10-15 13:28:25,52.08590994,5.16957533,5,55.400,,0.812,106,13,20,,
T,2021-10-15 13:28:26,52.08590487,5.16958471,5,55.600,,0.688,99,14,20,,
T,2021-10-15 13:28:27,52.08590068,5.16959561,5,55.900,,0.688,96,13,19,,
T,2021-10-15 13:28:28,52.08589586,5.16960450,5,56.200,,0.625,92,12,18,,
T,2021-10-15 13:28:29,52.08589221,5.16961112,5,56.500,,0.438,89,10,18,,
T,2021-10-15 13:28:30,52.08588618,5.16962193,5,56.800,,0.750,90,13,19,,
T,2021-10-15 13:28:31,52.08587784,5.16961690,5,57.400,,0.375,87,13,20,,
T,2021-10-15 13:28:32,52.08586719,5.16960827,5,58.300,,0.438,83,13,20,,
T,2021-10-15 13:28:33,52.08586313,5.16960944,5,58.800,,0.438,80,11,20,,
T,2021-10-15 13:28:34,52.08586313,5.16960944,5,58.800,,0.250,80,12,20,,
T,2021-10-15 13:28:35,52.08586313,5.16960944,5,58.800,,0.125,84,13,20,,
T,2021-10-15 13:28:36,52.08586313,5.16960944,5,58.800,,0.125,86,12,20,,
T,2021-10-15 13:28:37,52.08586313,5.16960944,5,58.800,,0.125,87,12,20,,
T,2021-10-15 13:28:38,52.08586313,5.16960944,5,58.800,,0.000,88,11,20,,
T,2021-10-15 13:28:39,52.08586313,5.16960944,5,58.800,,0.125,89,12,20,,
T,2021-10-15 13:28:40,52.08582499,5.16961740,5,61.400,,0.250,89,13,20,,
T,2021-10-15 13:28:41,52.08581355,5.16961330,5,61.900,,0.250,88,12,20,,
T,2021-10-15 13:28:42,52.08579720,5.16961003,5,62.300,,1.062,156,12,20,,
T,2021-10-15 13:28:43,52.08578664,5.16960307,5,62.700,,0.938,180,12,20,,
T,2021-10-15 13:28:44,52.08577436,5.16960282,5,63.100,,0.938,194,11,20,,
T,2021-10-15 13:28:45,52.08577005,5.16961455,5,63.400,,0.312,201,12,20,,
T,2021-10-15 13:28:46,52.08576565,5.16963601,5,63.500,,0.312,207,12,20,,
T,2021-10-15 13:28:47,52.08576024,5.16964330,5,63.700,,0.125,208,12,20,,
T,2021-10-15 13:28:48,52.08576024,5.16964330,5,63.700,,0.062,204,11,20,,
T,2021-10-15 13:28:49,52.08576024,5.16964330,5,63.700,,0.188,204,12,20,,
T,2021-10-15 13:28:50,52.08576024,5.16964330,5,63.700,,0.125,201,13,20,,
T,2021-10-15 13:28:51,52.08576024,5.16964330,5,63.700,,0.125,199,13,19,,
T,2021-10-15 13:28:52,52.08576024,5.16964330,5,63.700,,0.125,198,14,19,,
T,2021-10-15 13:28:53,52.08576024,5.16964330,5,63.700,,0.125,197,14,19,,
T,2021-10-15 13:28:54,52.08576079,5.16973576,5,65.600,,0.688,165,14,20,,
T,2021-10-15 13:28:55,52.08575995,5.16978806,5,65.200,,0.562,125,13,20,,
T,2021-10-15 13:28:56,52.08574557,5.16981597,5,65.600,,0.062,124,13,19,,
T,2021-10-15 13:28:57,52.08573975,5.16984128,5,65.300,,0.062,123,13,19,,
T,2021-10-15 13:28:58,52.08573975,5.16984128,5,65.300,,0.000,123,13,19,,
T,2021-10-15 13:28:59,52.08573975,5.16984128,5,65.300,,0.125,124,12,19,,
T,2021-10-15 13:29:00,52.08573975,5.16984128,5,65.300,,0.188,124,13,19,,
T,2021-10-15 13:29:01,52.08573975,5.16984128,5,65.300,,0.000,124,13,19,,
T,2021-10-15 13:29:02,52.08573975,5.16984128,5,65.300,,0.062,125,13,19,,
T,2021-10-15 13:29:03,52.08573975,5.16984128,5,65.300,,0.188,125,12,16,,
T,2021-10-15 13:29:04,52.08571129,5.16989803,5,65.000,,0.875,122,12,19,,
T,2021-10-15 13:29:05,52.08570153,5.16991714,5,64.900,,0.812,119,11,19,,
T,2021-10-15 13:29:06,52.08569327,5.16993055,5,65.000,,0.438,117,12,16,,
T,2021-10-15 13:29:07,52.08569658,5.16994212,5,65.300,,0.250,116,12,16,,
T,2021-10-15 13:29:08,52.08568438,5.16994128,5,65.000,,0.250,115,12,16,,
T,2021-10-15 13:29:09,52.08568438,5.16994128,5,65.000,,0.125,116,13,15,,
T,2021-10-15 13:29:10,52.08568438,5.16994128,5,65.000,,0.125,117,13,14,,
T,2021-10-15 13:29:11,52.08568438,5.16994128,5,65.000,,0.250,117,12,15,,
T,2021-10-15 13:29:12,52.08568438,5.16994128,5,65.000,,0.312,117,13,17,,
T,2021-10-15 13:29:13,52.08566209,5.17002066,5,65.500,,0.500,117,14,17,,
T,2021-10-15 13:29:14,52.08565358,5.17003558,5,65.500,,0.500,120,15,17,,
T,2021-10-15 13:29:15,52.08564876,5.17004832,5,65.700,,0.438,120,15,17,,
T,2021-10-15 13:29:16,52.08565186,5.17006039,5,65.800,,0.125,120,12,18,,
T,2021-10-15 13:29:17,52.08565186,5.17006039,5,65.800,,0.188,120,14,18,,
T,2021-10-15 13:29:18,52.08565186,5.17006039,5,65.800,,0.250,120,14,18,,
T,2021-10-15 13:29:19,52.08565186,5.17006039,5,65.800,,0.250,116,15,18,,
T,2021-10-15 13:29:20,52.08569101,5.17009743,5,67.000,,0.188,116,14,18,,
T,2021-10-15 13:29:21,52.08569448,5.17010540,5,67.200,,0.250,115,13,17,,
T,2021-10-15 13:29:22,52.08569486,5.17011143,5,67.200,,0.062,115,13,16,,
T,2021-10-15 13:29:23,52.08570203,5.17011110,5,67.100,,0.125,115,14,17,,
T,2021-10-15 13:29:24,52.08570203,5.17011110,5,67.100,,0.188,115,15,18,,
T,2021-10-15 13:29:25,52.08572131,5.17012057,5,67.400,,0.812,24,15,19,,
T,2021-10-15 13:29:26,52.08572445,5.17012795,5,67.200,,0.250,15,15,18,,
T,2021-10-15 13:29:27,52.08572441,5.17012945,5,67.100,,0.000,11,15,18,,
T,2021-10-15 13:29:28,52.08571238,5.17012811,5,67.000,,1.125,101,16,18,,
T,2021-10-15 13:29:29,52.08570798,5.17013121,5,67.000,,0.688,117,16,18,,
T,2021-10-15 13:29:30,52.08570609,5.17012887,5,67.100,,0.375,126,15,18,,
T,2021-10-15 13:29:31,52.08570559,5.17012300,5,67.300,,0.062,129,15,18,,
T,2021-10-15 13:29:32,52.08570215,5.17011990,5,67.300,,0.250,136,14,18,,
T,2021-10-15 13:29:33,52.08570215,5.17011990,5,67.300,,0.188,136,15,17,,
T,2021-10-15 13:29:34,52.08570215,5.17011990,5,67.300,,0.125,132,15,17,,
T,2021-10-15 13:29:35,52.08570215,5.17011990,5,67.300,,0.188,129,16,18,,
T,2021-10-15 13:29:36,52.08570215,5.17011990,5,67.300,,0.188,129,16,18,,
T,2021-10-15 13:29:37,52.08570215,5.17011990,5,67.300,,0.188,129,16,19,,
T,2021-10-15 13:29:38,52.08571427,5.17007598,5,67.500,,0.875,183,16,19,,
T,2021-10-15 13:29:39,52.08571577,5.17005024,5,67.700,,0.812,221,16,19,,
T,2021-10-15 13:29:40,52.08571477,5.17003197,5,67.900,,0.938,245,15,19,,
T,2021-10-15 13:29:41,52.08571561,5.17002175,5,68.200,,0.750,265,15,19,,
T,2021-10-15 13:29:42,52.08571980,5.17001521,5,68.300,,0.562,286,13,19,,
T,2021-10-15 13:29:43,52.08572550,5.17000398,5,68.600,,0.750,302,14,18,,
T,2021-10-15 13:29:44,52.08571632,5.17000129,5,68.800,,0.562,293,12,18,,
T,2021-10-15 13:29:45,52.08571640,5.16998646,5,69.100,,0.812,299,14,18,,
T,2021-10-15 13:29:46,52.08571774,5.16998034,5,69.400,,0.500,310,14,18,,
T,2021-10-15 13:29:47,52.08571804,5.16997137,5,69.400,,0.562,315,14,16,,
T,2021-10-15 13:29:48,52.08571213,5.16996416,5,69.700,,0.500,320,14,16,,
T,2021-10-15 13:29:49,52.08570760,5.16995075,5,70.000,,0.812,311,13,14,,
T,2021-10-15 13:29:50,52.08571024,5.16992971,5,70.700,,1.188,311,12,14,,
T,2021-10-15 13:29:51,52.08571544,5.16991630,5,70.800,,1.000,317,12,13,,
T,2021-10-15 13:29:52,52.08572055,5.16991069,5,71.100,,0.562,330,12,13,,
T,2021-10-15 13:29:53,52.08572026,5.16990893,5,71.400,,0.000,332,13,14,,
T,2021-10-15 13:29:54,52.08572231,5.16989979,5,71.700,,0.250,339,12,15,,
T,2021-10-15 13:29:55,52.08572231,5.16989979,5,71.700,,0.312,339,14,14,,
T,2021-10-15 13:29:56,52.08572231,5.16989979,5,71.700,,0.250,339,13,14,,
T,2021-10-15 13:29:57,52.08572231,5.16989979,5,71.700,,0.188,334,14,14,,
T,2021-10-15 13:29:58,52.08572231,5.16989979,5,71.700,,0.125,331,12,14,,
