DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4_high_precision        CH4_high_range            CH4                       CH4_dry                   C2H6                      C2H6_dry                  C2C1ratio                 H2O                       CavityPressure            CavityTemp                GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           SpectrumID                GPS_ALTITUDE              GPS_TIME                  
2021-10-15                09:41:26.647              287.40378064              6897.690735               1634290886.647            0                         899                       1.9799571029E+00          0.0000000000E+00          1.9799571029E+00          2.0106506401E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.3814909562E+00          4.4990780640E+02          1.9057519913E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4990780640E+02          1.9057519913E+01          -1.6275521517E+00         1.9706031799E+01          1.8886121750E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
2021-10-15                09:41:27.295              287.40378814              6897.690915               1634290887.295            0                         899                       1.9804059643E+00          0.0000000000E+00          1.9804059643E+00          2.0121522222E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.4278067427E+00          4.4991165199E+02          1.9057519913E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4991165199E+02          1.9057519913E+01          -1.6472447463E+00         1.9706031799E+01          1.8885810452E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
2021-10-15                09:41:27.928              287.40379547              6897.691091               1634290887.929            0                         899                       1.9734725140E+00          0.0000000000E+00          1.9734725140E+00          2.0042570303E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.3900058898E+00          4.4988708496E+02          1.9057519913E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4988708496E+02          1.9057519913E+01          -1.7564984428E+00         1.9706031799E+01          1.8884000354E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
2021-10-15                09:41:28.530              287.40380244              6897.691259               1634290888.531            0                         899                       1.9785224099E+00          0.0000000000E+00          1.9785224099E+00          2.0098874662E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.4122515229E+00          4.4988269043E+02          1.9057519913E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4988269043E+02          1.9057519913E+01          -1.5119886398E+00         1.9706031799E+01          1.8887201309E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
2021-10-15                09:41:29.121              287.40380928              6897.691423               1634290889.122            0                         899                       1.9712127720E+00          0.0000000000E+00          1.9712127720E+00          2.0024134655E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.4100944809E+00          4.4988129114E+02          1.9057519913E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4988129114E+02          1.9057519913E+01          -1.5277025494E+00         1.9706031799E+01          1.8884747894E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
2021-10-15                09:41:29.792              287.40381705              6897.691609               1634290889.793            0                         899                       1.9778475208E+00          0.0000000000E+00          1.9778475208E+00          2.0084339058E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.3781875670E+00          4.4988690186E+02          1.9057519913E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4988690186E+02          1.9057519913E+01          -1.5396587849E+00         1.9706031799E+01          1.8882881165E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
2021-10-15                09:41:30.453              287.40382469              6897.691793               1634290890.453            0                         899                       1.9783090325E+00          0.0000000000E+00          1.9783090325E+00          2.0091614389E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.3896707966E+00          4.4989783393E+02          1.9056300340E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4989783393E+02          1.9056300340E+01          -1.5216340401E+00         1.9706031799E+01          1.8882707596E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
2021-10-15                09:41:31.117              287.40383237              6897.691977               1634290891.117            0                         899                       1.9726068040E+00          0.0000000000E+00          1.9726068040E+00          2.0037847882E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.4081038305E+00          4.4989498864E+02          1.9054986954E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4989498864E+02          1.9054986954E+01          -1.6117377752E+00         1.9706031799E+01          1.8882520676E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
2021-10-15                09:41:31.905              287.40384150              6897.692196               1634290891.906            0                         899                       1.9757794121E+00          0.0000000000E+00          1.9757794121E+00          2.0070791261E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.4112813337E+00          4.4990229628E+02          1.9054986954E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4990229628E+02          1.9054986954E+01          -1.6192933012E+00         1.9706031799E+01          1.8884601664E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
2021-10-15                09:41:32.585              287.40384936              6897.692385               1634290892.585            0                         899                       1.9836157828E+00          0.0000000000E+00          1.9836157828E+00          2.0148983623E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.4050349756E+00          4.4990457153E+02          1.9054986954E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4990457153E+02          1.9054986954E+01          -1.5543076992E+00         1.9706031799E+01          1.8886842728E+01          2.3000000000E+01          0.0000000000E+00          0.0000000000E+00          
