DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4_high_precision        CH4_high_range            CH4                       CH4_dry                   C2H6                      C2H6_dry                  C2C1ratio                 H2O                       CavityPressure            CavityTemp                GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           SpectrumID                GPS_ALTITUDE              GPS_TIME                  
2021-10-15                14:58:56.605              287.62426627              6902.982391               1634309936.606            0                         899                       1.9702015650E+00          1.8768937660E+00          1.8768937660E+00          1.9101620410E+00          -5.9805504839E-03         -6.0865568026E-03         -3.1864086249E-03         1.5761509032E+00          4.5000809443E+02          2.7845849991E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.5000809443E+02          2.7845849991E+01          -1.5552562538E+00         3.0912256241E+01          1.8776039288E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
2021-10-15                14:58:57.177              287.62427289              6902.982549               1634309937.178            0                         899                       1.9702015650E+00          1.9879401803E+00          1.9879401803E+00          2.0228700880E+00          -5.3285528672E-03         -5.4221803625E-03         -2.6804392406E-03         1.5626696153E+00          4.5000787354E+02          2.7845849991E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.5000787354E+02          2.7845849991E+01          -1.5998820066E+00         3.0912256241E+01          1.8760442734E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
2021-10-15                14:58:57.763              287.62427966              6902.982712               1634309937.763            0                         899                       1.9702015650E+00          1.9419160325E+00          1.9419160325E+00          1.9761529080E+00          1.1419091748E-02          1.1620415603E-02          5.8803220927E-03          1.5678745124E+00          4.5003497961E+02          2.7845849991E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.5003497961E+02          2.7845849991E+01          -1.5772457336E+00         3.0912256241E+01          1.8775299969E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
2021-10-15                14:58:58.372              287.62428672              6902.982881               1634309938.373            0                         899                       1.9702015650E+00          2.0061296303E+00          2.0061296303E+00          2.0411435870E+00          -7.8829508210E-03         -8.0205357976E-03         -3.9294324264E-03         1.5524061517E+00          4.5005983204E+02          2.7845849991E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.5005983204E+02          2.7845849991E+01          -1.5510523319E+00         3.0912256241E+01          1.8792491913E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
2021-10-15                14:58:58.940              287.62429330              6902.983039               1634309938.941            0                         899                       1.9702015650E+00          1.9045454327E+00          1.9045454327E+00          1.9379243506E+00          -9.6192005532E-03         -9.7877859284E-03         -5.0506542864E-03         1.5587381206E+00          4.5002195103E+02          2.7845849991E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.5002195103E+02          2.7845849991E+01          -1.5496510559E+00         3.0912256241E+01          1.8792491913E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
2021-10-15                14:58:59.532              287.62430014              6902.983203               1634309939.532            0                         899                       1.9702015650E+00          1.9341369320E+00          1.9341369320E+00          1.9680177579E+00          -4.8672901201E-03         -4.9525518235E-03         -2.5165178533E-03         1.5579829419E+00          4.4993996788E+02          2.7845885359E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4993996788E+02          2.7845885359E+01          -1.5396804028E+00         3.0912256241E+01          1.8793088117E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
2021-10-15                14:59:00.154              287.62430734              6902.983376               1634309940.154            0                         899                       1.9702015650E+00          1.9414016984E+00          1.9414016984E+00          1.9753264969E+00          -3.3123338273E-03         -3.3702148200E-03         -1.7061558306E-03         1.5542329405E+00          4.4995900883E+02          2.7846063614E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4995900883E+02          2.7846063614E+01          -1.5233823061E+00         3.0912256241E+01          1.8796092987E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
2021-10-15                14:59:00.730              287.62431402              6902.983536               1634309940.731            0                         899                       1.9702015650E+00          1.8873383789E+00          1.8873383789E+00          1.9207278172E+00          -3.1399760264E-03         -3.1955262325E-03         -1.6637059160E-03         1.5731893920E+00          4.4996673220E+02          2.7846063614E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4996673220E+02          2.7846063614E+01          -1.5395941632E+00         3.0912256241E+01          1.8795558828E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
2021-10-15                14:59:01.311              287.62432073              6902.983698               1634309941.311            0                         899                       1.9702015650E+00          1.8895737991E+00          1.8895737991E+00          1.9227472614E+00          1.1590325264E-03          1.1793805656E-03          6.1338304275E-04          1.5613717632E+00          4.5000738525E+02          2.7846063614E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.5000738525E+02          2.7846063614E+01          -1.6763817072E+00         3.0912256241E+01          1.8791051865E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
2021-10-15                14:59:01.888              287.62432741              6902.983858               1634309941.888            0                         899                       1.9702015650E+00          1.9154143066E+00          1.9154143066E+00          1.9492177247E+00          -4.6141331010E-03         -4.6955637709E-03         -2.4089478110E-03         1.5694156772E+00          4.5001467269E+02          2.7846063614E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.5001467269E+02          2.7846063614E+01          -1.6394415399E+00         3.0912256241E+01          1.8787854201E+01          1.7000000000E+02          0.0000000000E+00          0.0000000000E+00          
