DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       
2021-10-15                06:48:20.607              287.28357184              6894.805724               288.28357184              1634280500.607            0                         963                       1.3904475403E+02          4.4999992371E+01          3.9875000000E+01          4.4951560974E+01          4.5000236511E+01          3.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8307502017E+02          4.3153959338E+02          1.8024158489E+00          1.9876625533E+00          7.3698188779E+00          
2021-10-15                06:48:22.180              287.28359006              6894.806161               288.28359006              1634280502.181            0                         963                       1.3905128183E+02          4.4999992371E+01          3.9824280105E+01          4.4951560974E+01          4.5000236511E+01          2.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8307502017E+02          4.3153959338E+02          1.8023569272E+00          1.9876625533E+00          7.3698188779E+00          
2021-10-15                06:48:23.105              287.28360076              6894.806418               288.28360076              1634280503.106            0                         963                       1.3906818166E+02          4.4999992371E+01          3.9812500000E+01          4.4951560974E+01          4.5000236511E+01          1.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8307300031E+02          4.3153959338E+02          1.8023569272E+00          1.9876625533E+00          7.3698188779E+00          
2021-10-15                06:48:23.621              287.28360672              6894.806561               288.28360672              1634280503.621            0                         963                       1.3904516602E+02          4.4999992371E+01          3.9812500000E+01          4.4951560974E+01          4.5000236511E+01          3.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8307300031E+02          4.3153408122E+02          1.8023569272E+00          1.9875853408E+00          7.3688867908E+00          
2021-10-15                06:48:25.196              287.28362495              6894.806999               288.28362495              1634280505.196            0                         963                       1.3906999862E+02          4.4999931335E+01          3.9875000000E+01          4.4951560974E+01          4.5000205994E+01          2.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8307300031E+02          4.3153408122E+02          1.8023045000E+00          1.9875853408E+00          7.3688867908E+00          
2021-10-15                06:48:26.115              287.28363559              6894.807254               288.28363559              1634280506.115            0                         963                       1.3907692149E+02          4.4999931335E+01          3.9875000000E+01          4.4951560974E+01          4.5000205994E+01          1.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8311033197E+02          4.3153408122E+02          1.8023045000E+00          1.9875853408E+00          7.3688867908E+00          
2021-10-15                06:48:26.621              287.28364145              6894.807395               288.28364145              1634280506.621            0                         963                       1.3905603027E+02          4.4999931335E+01          3.9875000000E+01          4.4951560974E+01          4.5000205994E+01          3.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8311033197E+02          4.3156700233E+02          1.8023045000E+00          1.9874930059E+00          7.3673175269E+00          
2021-10-15                06:48:28.181              287.28365951              6894.807828               288.28365951              1634280508.182            0                         963                       1.3906179640E+02          4.4999931335E+01          3.9875000000E+01          4.4951560974E+01          4.5000205994E+01          2.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8311033197E+02          4.3156700233E+02          1.8022280043E+00          1.9874930059E+00          7.3673175269E+00          
2021-10-15                06:48:29.088              287.28367001              6894.808080               288.28367001              1634280509.089            0                         963                       1.3905979468E+02          4.4999933040E+01          3.9873254190E+01          4.4951555007E+01          4.5000202584E+01          1.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8310821665E+02          4.3156700233E+02          1.8022280043E+00          1.9874930059E+00          7.3673175269E+00          
2021-10-15                06:48:29.591              287.28367582              6894.808220               288.28367582              1634280509.591            0                         963                       1.3905506897E+02          4.4999992371E+01          3.9812500000E+01          4.4951347351E+01          4.5000083923E+01          3.0000000000E+00          0.0000000000E+00          2.3500000000E+04          0.0000000000E+00          3.8310821665E+02          4.3155703389E+02          1.8022280043E+00          1.9873799809E+00          7.3668091911E+00          
