DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       
2021-10-15                13:00:30.994              287.54202541              6901.008610               288.54202541              1634302830.995            0                         963                       1.3999502412E+02          4.4995079041E+01          3.9875000000E+01          4.4939933777E+01          4.4990257263E+01          2.0000000000E+00          0.0000000000E+00          5.1921910504E+04          0.0000000000E+00          4.0299766333E+02          4.0890089576E+02          1.9707371844E+00          1.9945373131E+00          9.3040732068E-01          
2021-10-15                13:00:31.921              287.54203613              6901.008867               288.54203613              1634302831.922            0                         963                       1.3998222149E+02          4.4995079041E+01          3.9875000000E+01          4.4939933777E+01          4.4990257263E+01          1.0000000000E+00          0.0000000000E+00          5.1919285890E+04          0.0000000000E+00          4.0292416578E+02          4.0890089576E+02          1.9707371844E+00          1.9945373131E+00          9.3040732068E-01          
2021-10-15                13:00:32.431              287.54204204              6901.009009               288.54204204              1634302832.432            0                         963                       1.3996671941E+02          4.4995079041E+01          3.9875000000E+01          4.4939933777E+01          4.4990257263E+01          3.0000000000E+00          0.0000000000E+00          5.1913466647E+04          0.0000000000E+00          4.0292416578E+02          4.0881210713E+02          1.9707371844E+00          1.9942980499E+00          9.2898957273E-01          
2021-10-15                13:00:33.996              287.54206014              6901.009443               288.54206014              1634302833.996            0                         963                       1.3999726868E+02          4.4995079041E+01          3.9875000000E+01          4.4939933777E+01          4.4990257263E+01          2.0000000000E+00          0.0000000000E+00          5.1917417969E+04          0.0000000000E+00          4.0292416578E+02          4.0881210713E+02          1.9711711625E+00          1.9942980499E+00          9.2898957273E-01          
2021-10-15                13:00:34.905              287.54207067              6901.009696               288.54207067              1634302834.906            0                         963                       1.4001839673E+02          4.4994922531E+01          3.9875000000E+01          4.4940090286E+01          4.4990361603E+01          1.0000000000E+00          0.0000000000E+00          5.1929189006E+04          0.0000000000E+00          4.0301621993E+02          4.0881210713E+02          1.9711711625E+00          1.9942980499E+00          9.2898957273E-01          
2021-10-15                13:00:35.407              287.54207648              6901.009836               288.54207648              1634302835.408            0                         963                       1.4001820374E+02          4.4994895935E+01          3.9875000000E+01          4.4940116882E+01          4.4990379333E+01          3.0000000000E+00          0.0000000000E+00          5.1930847656E+04          0.0000000000E+00          4.0301621993E+02          4.0886919760E+02          1.9711711625E+00          1.9945919794E+00          9.1907320813E-01          
2021-10-15                13:00:36.964              287.54209450              6901.010268               288.54209450              1634302836.965            0                         963                       1.4000775800E+02          4.4994895935E+01          3.9875000000E+01          4.4940116882E+01          4.4990379333E+01          2.0000000000E+00          0.0000000000E+00          5.1928964286E+04          0.0000000000E+00          4.0301621993E+02          4.0886919760E+02          1.9711314777E+00          1.9945919794E+00          9.1907320813E-01          
2021-10-15                13:00:37.881              287.54210512              6901.010523               288.54210512              1634302837.882            0                         963                       1.3998839011E+02          4.4994895935E+01          3.9875000000E+01          4.4940116882E+01          4.4990379333E+01          1.0000000000E+00          0.0000000000E+00          5.1920163190E+04          0.0000000000E+00          4.0306090764E+02          4.0886919760E+02          1.9711314777E+00          1.9945919794E+00          9.1907320813E-01          
2021-10-15                13:00:38.382              287.54211091              6901.010662               288.54211091              1634302838.383            0                         963                       1.3999156189E+02          4.4994895935E+01          3.9875000000E+01          4.4940116882E+01          4.4990379333E+01          3.0000000000E+00          0.0000000000E+00          5.1918012320E+04          0.0000000000E+00          4.0306090764E+02          4.0889185498E+02          1.9711314777E+00          1.9944611164E+00          9.2190781469E-01          
2021-10-15                13:00:39.953              287.54212910              6901.011098               288.54212910              1634302839.954            0                         963                       1.4000948106E+02          4.4994966876E+01          3.9839659686E+01          4.4940176000E+01          4.4990450275E+01          2.0000000000E+00          0.0000000000E+00          5.1921494274E+04          0.0000000000E+00          4.0306090764E+02          4.0889185498E+02          1.9709605260E+00          1.9944611164E+00          9.2190781469E-01          
