DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       
2021-10-15                20:00:14.756              287.83350413              6908.004099               288.83350413              1634328014.757            0                         963                       1.4002422337E+02          4.4999569340E+01          3.9625000000E+01          4.4950170485E+01          4.4999643695E+01          1.0000000000E+00          0.0000000000E+00          5.2962970347E+04          0.0000000000E+00          4.7609525088E+02          4.8295605501E+02          2.0940773790E+00          2.1186835577E+00          9.2935422313E-01          
2021-10-15                20:00:15.270              287.83351008              6908.004242               288.83351008              1634328015.271            0                         963                       1.4002583313E+02          4.4999412537E+01          3.9625000000E+01          4.4950431824E+01          4.4999748230E+01          3.0000000000E+00          0.0000000000E+00          5.2966324219E+04          0.0000000000E+00          4.7609525088E+02          4.8304597525E+02          2.0940773790E+00          2.1190895542E+00          9.2833343421E-01          
2021-10-15                20:00:16.831              287.83352814              6908.004675               288.83352814              1634328016.831            0                         963                       1.3999766234E+02          4.4999412537E+01          3.9625000000E+01          4.4950431824E+01          4.4999748230E+01          2.0000000000E+00          0.0000000000E+00          5.2960992952E+04          0.0000000000E+00          4.7609525088E+02          4.8304597525E+02          2.0939212313E+00          2.1190895542E+00          9.2833343421E-01          
2021-10-15                20:00:17.749              287.83353876              6908.004930               288.83353876              1634328017.749            0                         963                       1.4000413419E+02          4.4999412537E+01          3.9625000000E+01          4.4950431824E+01          4.4999748230E+01          1.0000000000E+00          0.0000000000E+00          5.2962784916E+04          0.0000000000E+00          4.7607592704E+02          4.8304597525E+02          2.0939212313E+00          2.1190895542E+00          9.2833343421E-01          
2021-10-15                20:00:18.266              287.83354475              6908.005074               288.83354475              1634328018.266            0                         963                       1.4001455688E+02          4.4999412537E+01          3.9625000000E+01          4.4950431824E+01          4.4999748230E+01          3.0000000000E+00          0.0000000000E+00          5.2965812500E+04          0.0000000000E+00          4.7607592704E+02          4.8301772881E+02          2.0939212313E+00          2.1189004612E+00          9.2707074708E-01          
2021-10-15                20:00:19.825              287.83356280              6908.005507               288.83356280              1634328019.826            0                         963                       1.4002088541E+02          4.4999515715E+01          3.9625000000E+01          4.4950512074E+01          4.4999897266E+01          2.0000000000E+00          0.0000000000E+00          5.2967953993E+04          0.0000000000E+00          4.7607592704E+02          4.8301772881E+02          2.0940225691E+00          2.1189004612E+00          9.2707074708E-01          
2021-10-15                20:00:20.730              287.83357326              6908.005758               288.83357326              1634328020.730            0                         963                       1.4003801706E+02          4.4999687195E+01          3.9625000000E+01          4.4950645447E+01          4.5000144958E+01          1.0000000000E+00          0.0000000000E+00          5.2977118824E+04          0.0000000000E+00          4.7617528018E+02          4.8301772881E+02          2.0940225691E+00          2.1189004612E+00          9.2707074708E-01          
2021-10-15                20:00:21.230              287.83357906              6908.005897               288.83357906              1634328021.231            0                         963                       1.4003683472E+02          4.4999687195E+01          3.9625000000E+01          4.4950645447E+01          4.5000144958E+01          3.0000000000E+00          0.0000000000E+00          5.2981066406E+04          0.0000000000E+00          4.7617528018E+02          4.8312215007E+02          2.0940225691E+00          2.1190160251E+00          9.2928982370E-01          
2021-10-15                20:00:22.801              287.83359723              6908.006334               288.83359723              1634328022.801            0                         963                       1.4001750055E+02          4.4999687195E+01          3.9625000000E+01          4.4950645447E+01          4.5000144958E+01          2.0000000000E+00          0.0000000000E+00          5.2983973740E+04          0.0000000000E+00          4.7617528018E+02          4.8312215007E+02          2.0944077542E+00          2.1190160251E+00          9.2928982370E-01          
2021-10-15                20:00:23.710              287.83360775              6908.006586               288.83360775              1634328023.710            0                         963                       1.4001408386E+02          4.4999687195E+01          3.9625000000E+01          4.4950645447E+01          4.5000144958E+01          1.0000000000E+00          0.0000000000E+00          5.2985968750E+04          0.0000000000E+00          4.7614499977E+02          4.8312215007E+02          2.0944077542E+00          2.1190160251E+00          9.2928982370E-01          
2021-10-15                20:00:24.216              287.83361361              6908.006727               288.83361361              1634328024.216            0                         963                       1.4000967055E+02          4.4999687195E+01          3.9625000000E+01          4.4950645447E+01          4.5000144958E+01          3.0000000000E+00          0.0000000000E+00          5.2984841346E+04          0.0000000000E+00          4.7614499977E+02          4.8309264824E+02          2.0944077542E+00          2.1194101976E+00          9.2739318876E-01          
2021-10-15                20:00:25.793              287.83363187              6908.007165               288.83363187              1634328025.794            0                         963                       1.4000808109E+02          4.4999687195E+01          3.9614528796E+01          4.4950856833E+01          4.5000356345E+01          2.0000000000E+00          0.0000000000E+00          5.2986275749E+04          0.0000000000E+00          4.7614499977E+02          4.8309264824E+02          2.0939678833E+00          2.1194101976E+00          9.2739318876E-01          
2021-10-15                20:00:26.717              287.83364256              6908.007421               288.83364256              1634328026.717            0                         963                       1.3997865599E+02          4.4999687195E+01          3.9625000000E+01          4.4950859070E+01          4.5000358582E+01          1.0000000000E+00          0.0000000000E+00          5.2976828708E+04          0.0000000000E+00          4.7616003497E+02          4.8309264824E+02          2.0939678833E+00          2.1194101976E+00          9.2739318876E-01          
2021-10-15                20:00:27.224              287.83364844              6908.007562               288.83364844              1634328027.225            0                         963                       1.3993568420E+02          4.4999687195E+01          3.9625000000E+01          4.4950859070E+01          4.5000358582E+01          3.0000000000E+00          0.0000000000E+00          5.2961988281E+04          0.0000000000E+00          4.7616003497E+02          4.8311002694E+02          2.0939678833E+00          2.1189727150E+00          9.2985111231E-01          
2021-10-15                20:00:28.776              287.83366639              6908.007993               288.83366639              1634328028.776            0                         963                       1.3998144224E+02          4.4999687195E+01          3.9625000000E+01          4.4950859070E+01          4.5000358582E+01          2.0000000000E+00          0.0000000000E+00          5.2962742746E+04          0.0000000000E+00          4.7616003497E+02          4.8311002694E+02          2.0940878150E+00          2.1189727150E+00          9.2985111231E-01          
2021-10-15                20:00:29.687              287.83367694              6908.008247               288.83367694              1634328029.688            0                         963                       1.3999668773E+02          4.4999871323E+01          3.9625000000E+01          4.4950905102E+01          4.5000481334E+01          1.0000000000E+00          0.0000000000E+00          5.2964256721E+04          0.0000000000E+00          4.7622499900E+02          4.8311002694E+02          2.0940878150E+00          2.1189727150E+00          9.2985111231E-01          
2021-10-15                20:00:30.190              287.83368277              6908.008386               288.83368277              1634328030.191            0                         963                       1.3999945890E+02          4.5000053406E+01          3.9605769231E+01          4.4950950623E+01          4.5000602722E+01          3.0000000000E+00          0.0000000000E+00          5.2965382812E+04          0.0000000000E+00          4.7622499900E+02          4.8317842917E+02          2.0940878150E+00          2.1191030333E+00          9.2805098056E-01          
2021-10-15                20:00:31.750              287.83370081              6908.008819               288.83370081              1634328031.750            0                         963                       1.4000287309E+02          4.5000053406E+01          3.9588624339E+01          4.4950950623E+01          4.5000602722E+01          2.0000000000E+00          0.0000000000E+00          5.2965555101E+04          0.0000000000E+00          4.7622499900E+02          4.8317842917E+02          2.0945130374E+00          2.1191030333E+00          9.2805098056E-01          
2021-10-15                20:00:32.654              287.83371128              6908.009071               288.83371128              1634328032.655            0                         963                       1.4001387160E+02          4.5000053406E+01          3.9572625698E+01          4.4950950623E+01          4.5000602722E+01          1.0000000000E+00          0.0000000000E+00          5.2968604836E+04          0.0000000000E+00          4.7624065539E+02          4.8317842917E+02          2.0945130374E+00          2.1191030333E+00          9.2805098056E-01          
2021-10-15                20:00:33.161              287.83371714              6908.009211               288.83371714              1634328033.161            0                         963                       1.4001332092E+02          4.5000053406E+01          3.9562500000E+01          4.4950950623E+01          4.5000602722E+01          3.0000000000E+00          0.0000000000E+00          5.2968882812E+04          0.0000000000E+00          4.7624065539E+02          4.8319071328E+02          2.0945130374E+00          2.1195203836E+00          9.2889978460E-01          
2021-10-15                20:00:34.720              287.83373520              6908.009645               288.83373520              1634328034.721            0                         963                       1.4000851440E+02          4.5000053406E+01          3.9625000000E+01          4.4950950623E+01          4.5000602722E+01          2.0000000000E+00          0.0000000000E+00          5.2967644531E+04          0.0000000000E+00          4.7624065539E+02          4.8319071328E+02          2.0943229648E+00          2.1195203836E+00          9.2889978460E-01          
2021-10-15                20:00:35.635              287.83374579              6908.009899               288.83374579              1634328035.636            0                         963                       1.4000060217E+02          4.4999924423E+01          3.9625000000E+01          4.4951156996E+01          4.5000860688E+01          1.0000000000E+00          0.0000000000E+00          5.2966752870E+04          0.0000000000E+00          4.7626764716E+02          4.8319071328E+02          2.0943229648E+00          2.1195203836E+00          9.2889978460E-01          
2021-10-15                20:00:36.145              287.83375169              6908.010041               288.83375169              1634328036.146            0                         963                       1.4001496887E+02          4.4999900818E+01          3.9625000000E+01          4.4951194763E+01          4.5000907898E+01          3.0000000000E+00          0.0000000000E+00          5.2971441406E+04          0.0000000000E+00          4.7626764716E+02          4.8322000107E+02          2.0943229648E+00          2.1193348821E+00          9.2855344951E-01          
2021-10-15                20:00:37.720              287.83376991              6908.010478               288.83376991              1634328037.720            0                         963                       1.3999857526E+02          4.4999900818E+01          3.9625000000E+01          4.4951194763E+01          4.5000907898E+01          2.0000000000E+00          0.0000000000E+00          5.2966540371E+04          0.0000000000E+00          4.7626764716E+02          4.8322000107E+02          2.0943783472E+00          2.1193348821E+00          9.2855344951E-01          
2021-10-15                20:00:38.634              287.83378049              6908.010732               288.83378049              1634328038.634            0                         963                       1.4001340902E+02          4.4999900818E+01          3.9625000000E+01          4.4951194763E+01          4.5000907898E+01          1.0000000000E+00          0.0000000000E+00          5.2971220045E+04          0.0000000000E+00          4.7624849980E+02          4.8322000107E+02          2.0943783472E+00          2.1193348821E+00          9.2855344951E-01          
2021-10-15                20:00:39.141              287.83378635              6908.010873               288.83378635              1634328039.141            0                         963                       1.3997268677E+02          4.4999900818E+01          3.9625000000E+01          4.4951194763E+01          4.5000907898E+01          3.0000000000E+00          0.0000000000E+00          5.2958796875E+04          0.0000000000E+00          4.7624849980E+02          4.8319515697E+02          2.0943783472E+00          2.1193714427E+00          9.2746867053E-01          
2021-10-15                20:00:40.707              287.83380449              6908.011308               288.83380449              1634328040.708            0                         963                       1.4002714030E+02          4.5000389099E+01          3.9625000000E+01          4.4951499939E+01          4.5000938416E+01          2.0000000000E+00          0.0000000000E+00          5.2976062500E+04          0.0000000000E+00          4.7624849980E+02          4.8319515697E+02          2.0947979434E+00          2.1193714427E+00          9.2746867053E-01          
2021-10-15                20:00:41.615              287.83381499              6908.011560               288.83381499              1634328041.615            0                         963                       1.3999306637E+02          4.5000389099E+01          3.9625000000E+01          4.4951499939E+01          4.5000938416E+01          1.0000000000E+00          0.0000000000E+00          5.2965711047E+04          0.0000000000E+00          4.7630846836E+02          4.8319515697E+02          2.0947979434E+00          2.1193714427E+00          9.2746867053E-01          
2021-10-15                20:00:42.119              287.83382083              6908.011700               288.83382083              1634328042.120            0                         963                       1.4001325989E+02          4.5000389099E+01          3.9625000000E+01          4.4951499939E+01          4.5000938416E+01          3.0000000000E+00          0.0000000000E+00          5.2971261719E+04          0.0000000000E+00          4.7630846836E+02          4.8325296225E+02          2.0947979434E+00          2.1197851191E+00          9.2775094461E-01          
2021-10-15                20:00:43.680              287.83383890              6908.012134               288.83383890              1634328043.681            0                         963                       1.4002785302E+02          4.5000389099E+01          3.9625000000E+01          4.4951499939E+01          4.5000938416E+01          2.0000000000E+00          0.0000000000E+00          5.2986325190E+04          0.0000000000E+00          4.7630846836E+02          4.8325296225E+02          2.0948034708E+00          2.1197851191E+00          9.2775094461E-01          
2021-10-15                20:00:44.592              287.83384946              6908.012387               288.83384946              1634328044.593            0                         963                       1.4002987773E+02          4.5000382621E+01          3.9625000000E+01          4.4951538811E+01          4.5000967569E+01          1.0000000000E+00          0.0000000000E+00          5.2993529984E+04          0.0000000000E+00          4.7632631484E+02          4.8325296225E+02          2.0948034708E+00          2.1197851191E+00          9.2775094461E-01          
