DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       
2021-10-15                03:48:04.888              287.15838992              6891.801358               288.15838992              1634269684.889            0                         963                       1.4000262204E+02          4.4999893308E+01          3.9625000000E+01          4.4949173093E+01          4.4998344421E+01          2.0000000000E+00          0.0000000000E+00          5.2167991574E+04          0.0000000000E+00          4.1866029085E+02          4.2788362071E+02          2.0864729768E+00          2.1246023544E+00          1.3934251808E+00          
2021-10-15                03:48:05.805              287.15840053              6891.801613               288.15840053              1634269685.806            0                         963                       1.3998985940E+02          4.4999870300E+01          3.9625000000E+01          4.4949150085E+01          4.4998344421E+01          1.0000000000E+00          0.0000000000E+00          5.2164708995E+04          0.0000000000E+00          4.1873779456E+02          4.2788362071E+02          2.0864729768E+00          2.1246023544E+00          1.3934251808E+00          
2021-10-15                03:48:06.319              287.15840647              6891.801755               288.15840647              1634269686.319            0                         963                       1.3998037720E+02          4.4999870300E+01          3.9625000000E+01          4.4949150085E+01          4.4998344421E+01          3.0000000000E+00          0.0000000000E+00          5.2159062500E+04          0.0000000000E+00          4.1873779456E+02          4.2797020892E+02          2.0864729768E+00          2.1241012225E+00          1.3959688162E+00          
2021-10-15                03:48:07.875              287.15842448              6891.802188               288.15842448              1634269687.875            0                         963                       1.4001353866E+02          4.4999870300E+01          3.9652447090E+01          4.4949150085E+01          4.4998344421E+01          2.0000000000E+00          0.0000000000E+00          5.2163805122E+04          0.0000000000E+00          4.1873779456E+02          4.2797020892E+02          2.0866773033E+00          2.1241012225E+00          1.3959688162E+00          
2021-10-15                03:48:08.775              287.15843490              6891.802438               288.15843490              1634269688.775            0                         963                       1.4000778454E+02          4.4999870300E+01          3.9663058659E+01          4.4949150085E+01          4.4998344421E+01          1.0000000000E+00          0.0000000000E+00          5.2163123211E+04          0.0000000000E+00          4.1885265687E+02          4.2797020892E+02          2.0866773033E+00          2.1241012225E+00          1.3959688162E+00          
2021-10-15                03:48:09.279              287.15844074              6891.802578               288.15844074              1634269689.280            0                         963                       1.4000782776E+02          4.4999870300E+01          3.9625000000E+01          4.4949150085E+01          4.4998344421E+01          3.0000000000E+00          0.0000000000E+00          5.2163695312E+04          0.0000000000E+00          4.1885265687E+02          4.2810321911E+02          2.0866773033E+00          2.1243728196E+00          1.3980609346E+00          
2021-10-15                03:48:10.832              287.15845870              6891.803009               288.15845870              1634269690.832            0                         963                       1.3999757644E+02          4.4999717712E+01          3.9670304233E+01          4.4949211121E+01          4.4998466492E+01          2.0000000000E+00          0.0000000000E+00          5.2160658007E+04          0.0000000000E+00          4.1885265687E+02          4.2810321911E+02          2.0874056787E+00          2.1243728196E+00          1.3980609346E+00          
2021-10-15                03:48:11.737              287.15846919              6891.803261               288.15846919              1634269691.738            0                         963                       1.3998681879E+02          4.4999717712E+01          3.9662360335E+01          4.4949211121E+01          4.4998466492E+01          1.0000000000E+00          0.0000000000E+00          5.2156332380E+04          0.0000000000E+00          4.1890359417E+02          4.2810321911E+02          2.0874056787E+00          2.1243728196E+00          1.3980609346E+00          
2021-10-15                03:48:12.240              287.15847501              6891.803400               288.15847501              1634269692.241            0                         963                       1.3999351501E+02          4.4999717712E+01          3.9625000000E+01          4.4949211121E+01          4.4998466492E+01          3.0000000000E+00          0.0000000000E+00          5.2154867188E+04          0.0000000000E+00          4.1890359417E+02          4.2816949101E+02          2.0874056787E+00          2.1251722274E+00          1.4001865189E+00          
2021-10-15                03:48:13.813              287.15849322              6891.803837               288.15849322              1634269693.814            0                         963                       1.4001570713E+02          4.4999717712E+01          3.9625000000E+01          4.4949211121E+01          4.4998466492E+01          2.0000000000E+00          0.0000000000E+00          5.2161086756E+04          0.0000000000E+00          4.1890359417E+02          4.2816949101E+02          2.0870403549E+00          2.1251722274E+00          1.4001865189E+00          
2021-10-15                03:48:14.730              287.15850382              6891.804092               288.15850382              1634269694.730            0                         963                       1.3998812074E+02          4.4999777399E+01          3.9625000000E+01          4.4949260859E+01          4.4998516230E+01          1.0000000000E+00          0.0000000000E+00          5.2153425112E+04          0.0000000000E+00          4.1865978946E+02          4.2816949101E+02          2.0870403549E+00          2.1251722274E+00          1.4001865189E+00          
2021-10-15                03:48:15.236              287.15850968              6891.804232               288.15850968              1634269695.236            0                         963                       1.3999249268E+02          4.4999900818E+01          3.9625000000E+01          4.4949363708E+01          4.4998619080E+01          3.0000000000E+00          0.0000000000E+00          5.2154109375E+04          0.0000000000E+00          4.1865978946E+02          4.2793048175E+02          2.0870403549E+00          2.1248418066E+00          1.4010865862E+00          
2021-10-15                03:48:16.799              287.15852777              6891.804666               288.15852777              1634269696.799            0                         963                       1.4002084526E+02          4.4999900818E+01          3.9687500000E+01          4.4949363708E+01          4.4998619080E+01          2.0000000000E+00          0.0000000000E+00          5.2174135144E+04          0.0000000000E+00          4.1865978946E+02          4.2793048175E+02          2.0866003873E+00          2.1248418066E+00          1.4010865862E+00          
2021-10-15                03:48:17.713              287.15853834              6891.804920               288.15853834              1634269697.713            0                         963                       1.4000759255E+02          4.4999900818E+01          3.9687500000E+01          4.4949363708E+01          4.4998619080E+01          1.0000000000E+00          0.0000000000E+00          5.2173748684E+04          0.0000000000E+00          4.1847360134E+02          4.2793048175E+02          2.0866003873E+00          2.1248418066E+00          1.4010865862E+00          
2021-10-15                03:48:18.230              287.15854433              6891.805064               288.15854433              1634269698.230            0                         963                       1.4002934265E+02          4.4999900818E+01          3.9687500000E+01          4.4949363708E+01          4.4998619080E+01          3.0000000000E+00          0.0000000000E+00          5.2179613281E+04          0.0000000000E+00          4.1847360134E+02          4.2774968024E+02          2.0866003873E+00          2.1244326261E+00          1.4030118393E+00          
2021-10-15                03:48:19.789              287.15856237              6891.805497               288.15856237              1634269699.789            0                         963                       1.4001561628E+02          4.4999916480E+01          3.9625000000E+01          4.4949348046E+01          4.4998634742E+01          2.0000000000E+00          0.0000000000E+00          5.2179515501E+04          0.0000000000E+00          4.1847360134E+02          4.2774968024E+02          2.0860266457E+00          2.1244326261E+00          1.4030118393E+00          
2021-10-15                03:48:20.690              287.15857280              6891.805747               288.15857280              1634269700.690            0                         963                       1.4001104208E+02          4.4999931335E+01          3.9625000000E+01          4.4949333191E+01          4.4998649597E+01          1.0000000000E+00          0.0000000000E+00          5.2180138159E+04          0.0000000000E+00          4.1841148086E+02          4.2774968024E+02          2.0860266457E+00          2.1244326261E+00          1.4030118393E+00          
2021-10-15                03:48:21.190              287.15857860              6891.805886               288.15857860              1634269701.191            0                         963                       1.3999826050E+02          4.4999931335E+01          3.9625000000E+01          4.4949333191E+01          4.4998649597E+01          3.0000000000E+00          0.0000000000E+00          5.2177699219E+04          0.0000000000E+00          4.1841148086E+02          4.2769871199E+02          2.0860266457E+00          2.1238995382E+00          1.4048094126E+00          
2021-10-15                03:48:22.753              287.15859668              6891.806320               288.15859668              1634269702.753            0                         963                       1.3997963194E+02          4.4999931335E+01          3.9651785714E+01          4.4949333191E+01          4.4998649597E+01          2.0000000000E+00          0.0000000000E+00          5.2168828373E+04          0.0000000000E+00          4.1841148086E+02          4.2769871199E+02          2.0855738481E+00          2.1238995382E+00          1.4048094126E+00          
2021-10-15                03:48:23.660              287.15860718              6891.806572               288.15860718              1634269703.660            0                         963                       1.3998738303E+02          4.4999931335E+01          3.9649441341E+01          4.4949333191E+01          4.4998649597E+01          1.0000000000E+00          0.0000000000E+00          5.2166437718E+04          0.0000000000E+00          4.1832133223E+02          4.2769871199E+02          2.0855738481E+00          2.1238995382E+00          1.4048094126E+00          
2021-10-15                03:48:24.161              287.15861297              6891.806711               288.15861297              1634269704.161            0                         963                       1.3997859192E+02          4.4999931335E+01          3.9687500000E+01          4.4949333191E+01          4.4998649597E+01          3.0000000000E+00          0.0000000000E+00          5.2161945312E+04          0.0000000000E+00          4.1832133223E+02          4.2762213211E+02          2.0855738481E+00          2.1235019656E+00          1.4076389171E+00          
2021-10-15                03:48:25.734              287.15863119              6891.807149               288.15863119              1634269705.735            0                         963                       1.4002409818E+02          4.5000114441E+01          3.9679646597E+01          4.4949424744E+01          4.4998649597E+01          2.0000000000E+00          0.0000000000E+00          5.2176023458E+04          0.0000000000E+00          4.1832133223E+02          4.2762213211E+02          2.0854004484E+00          2.1235019656E+00          1.4076389171E+00          
2021-10-15                03:48:26.644              287.15864171              6891.807401               288.15864171              1634269706.644            0                         963                       1.4002741591E+02          4.5000114441E+01          3.9687500000E+01          4.4949424744E+01          4.4998649597E+01          1.0000000000E+00          0.0000000000E+00          5.2181395136E+04          0.0000000000E+00          4.1837393176E+02          4.2762213211E+02          2.0854004484E+00          2.1235019656E+00          1.4076389171E+00          
2021-10-15                03:48:27.150              287.15864757              6891.807542               288.15864757              1634269707.150            0                         963                       1.4001414490E+02          4.5000114441E+01          3.9687500000E+01          4.4949424744E+01          4.4998649597E+01          3.0000000000E+00          0.0000000000E+00          5.2179066406E+04          0.0000000000E+00          4.1837393176E+02          4.2769018492E+02          2.0854004484E+00          2.1233836060E+00          1.4090534237E+00          
2021-10-15                03:48:28.717              287.15866571              6891.807977               288.15866571              1634269708.717            0                         963                       1.3998044950E+02          4.5000114441E+01          3.9684227749E+01          4.4949424744E+01          4.4998649597E+01          2.0000000000E+00          0.0000000000E+00          5.2168058164E+04          0.0000000000E+00          4.1837393176E+02          4.2769018492E+02          2.0857072336E+00          2.1233836060E+00          1.4090534237E+00          
